Colony,slide_id,Sample,NN_level,mean_distance,sd_distance,n,se_distance
SC4,1SG4T4,T4,5,2.874522144931618,0.5391189939113504,54,0.0733648025403022
SC4,1SG4T4,T4,6,3.152504471838333,0.5499264601351398,54,0.07483551241033817
SC4,1SG4T4,T4,7,3.444167962470518,0.6154088730533557,54,0.08374654012010832
SC4,1SG4T4,T4,8,3.7615792945545867,0.6206539666094525,54,0.08446030694597483
SC4,1SG4T5,T5,1,1.3750774460391222,0.37473639588727753,62,0.047591569869277914
SC4,1SG4T5,T5,2,1.7061042808862845,0.34972932762180564,62,0.04441566902366055
SC4,1SG4T5,T5,3,1.9825217018259558,0.43593929569878787,62,0.05536434591811966
SC4,1SG4T5,T5,4,2.2843969728595286,0.4740142475500026,62,0.06019986963875007
SC4,1SG4T5,T5,5,2.5590770263310896,0.5841726681914325,62,0.07419000305035207
SC4,1SG4T5,T5,6,2.8398501282719124,0.5929550821033569,62,0.07530537073253471
SC4,1SG4T5,T5,7,3.1454691610751784,0.6004156327671629,62,0.07625286161432943
SC4,1SG4T5,T5,8,3.3989027577296342,0.6647745978080102,62,0.08442645834811785
SC6,1SG6T1,T1,1,1.370774688028895,0.34381435390429915,70,0.04109367520862385
SC6,1SG6T1,T1,2,1.7410408178129126,0.34390107413650856,70,0.04110404025887833
SC6,1SG6T1,T1,3,1.988139245240206,0.35875552215754736,70,0.04287948638393996
SC6,1SG6T1,T1,4,2.2497087291344604,0.4265865484113276,70,0.050986844701843004
SC6,1SG6T1,T1,5,2.5660391565188765,0.44084524098402217,70,0.05269108443130185
SC6,1SG6T1,T1,6,2.905537255061102,0.4705025816487471,70,0.056235814635227394
SC6,1SG6T1,T1,7,3.168756232903263,0.46148193312530744,70,0.055157640916230884
SC6,1SG6T1,T1,8,3.411485191314514,0.5201281416806828,70,0.062167203545668494
SC6,1SG6T2,T2,1,1.2639000319095584,0.3416253191327037,50,0.04831311595675064
SC6,1SG6T2,T2,2,1.6193600358976017,0.26563791290020766,50,0.03756687391039566
SC6,1SG6T2,T2,3,1.9589572742996235,0.39799053700443515,50,0.056284361512782335
SC6,1SG6T2,T2,4,2.223849141287873,0.441913227309314,50,0.062495967945289624
SC6,1SG6T2,T2,5,2.4778194018370256,0.5203655464019484,50,0.07359080131133215
SC6,1SG6T2,T2,6,2.780593568665715,0.6036079565111586,50,0.08536305584543898
SC6,1SG6T2,T2,7,3.096997825064337,0.6597707443912346,50,0.09330567347750766
SC6,1SG6T2,T2,8,3.374835448220154,0.6573968102729423,50,0.09296994849488073
SC6,1SG6T3,T3,1,1.4743889815770654,0.08568730752041642,15,0.02212436766719509
SC6,1SG6T3,T3,2,1.7151599917364484,0.1985301002512871,15,0.05126025146627492
SC6,1SG6T3,T3,3,2.3158225116425863,0.44036574275974705,15,0.11370194586325064
SC6,1SG6T3,T3,4,2.8613449794653145,0.5101284086299452,15,0.131714588736738
SC6,1SG6T3,T3,5,3.6181157937157513,0.8135790558766182,15,0.21006520894888636
SC6,1SG6T3,T3,6,4.56151150717114,1.0450960661917439,15,0.2698426439698339
SC6,1SG6T3,T3,7,5.229615092141194,1.0752921080384128,15,0.2776392284494026
SC6,1SG6T3,T3,8,5.620909906776113,0.9807539755493848,15,0.25322958760196557
SC6,1SG6T4,T4,1,1.3553277282335117,0.37076466116813656,89,0.039300975481950114
SC6,1SG6T4,T4,2,1.7532638629399158,0.30125797818263406,89,0.03193328182085944
SC6,1SG6T4,T4,3,1.9976911496233374,0.2773185321687007,89,0.029395705618529833
SC6,1SG6T4,T4,4,2.3157426773870666,0.3604497917879043,89,0.038207601514391246
SC6,1SG6T4,T4,5,2.6071805642746955,0.42117739411618454,89,0.04464471448697588
SC6,1SG6T4,T4,6,2.8865822220503685,0.45158857325740104,89,0.047868293028794195
SC6,1SG6T4,T4,7,3.1165022382482443,0.4365681410390433,89,0.04627613039797035
SC6,1SG6T4,T4,8,3.393627078047112,0.441100016747172,89,0.04675650826227722
SC6,1SG6T5,T5,1,1.4118727397155755,0.35986731859853605,76,0.0412796124961572
SC6,1SG6T5,T5,2,1.7462425835310333,0.26409417138622054,76,0.03029367906975385
SC6,1SG6T5,T5,3,1.9982047733192316,0.2671421867029405,76,0.030643310405120857
SC6,1SG6T5,T5,4,2.2685382297667824,0.2920866015940697,76,0.033504631029230944
SC6,1SG6T5,T5,5,2.5934185234006386,0.390098885325702,76,0.04474741102954202
SC6,1SG6T5,T5,6,2.8619515570063845,0.44116918271557376,76,0.05060557590688465
SC6,1SG6T5,T5,7,3.208301531610846,0.43055191006412996,76,0.04938769120836724
SC6,1SG6T5,T5,8,3.4181796420465322,0.4106091160199372,76,0.04710009584282826
SC7,1SG7T1,T1,1,1.2452455615044054,0.3068668213218537,67,0.037489749052276464
SC7,1SG7T1,T1,2,1.5000255749132763,0.2698352648650317,67,0.03296562437629737
SC7,1SG7T1,T1,3,1.7525372536087367,0.326194793626354,67,0.03985103668925132
SC7,1SG7T1,T1,4,2.0188766636123514,0.3963028401933477,67,0.04841609778324691
SC7,1SG7T1,T1,5,2.2947913130660593,0.44696866038528454,67,0.05460591288395231
SC7,1SG7T1,T1,6,2.582584127701219,0.48311011786911506,67,0.05902129466297891
SC7,1SG7T1,T1,7,2.821025187592769,0.49189934813045344,67,0.06009507004032624
SC7,1SG7T1,T1,8,3.084181166725704,0.4970591007762325,67,0.060725434154077045
SC7,1SG7T2,T2,1,1.1911025320047517,0.25408052157579786,62,0.03226825850840097
SC7,1SG7T2,T2,2,1.411259776486677,0.25494457645005153,62,0.03237799358716632
SC7,1SG7T2,T2,3,1.726886083822253,0.36393593536329855,62,0.046219910011072035
SC7,1SG7T2,T2,4,1.9623342248379845,0.5036288163498844,62,0.06396092363739093
SC7,1SG7T2,T2,5,2.2172247613510634,0.5501751121496065,62,0.06987230911534408
SC7,1SG7T2,T2,6,2.4676146428370567,0.6515171859247298,62,0.08274276535524741
SC7,1SG7T2,T2,7,2.69486829172315,0.6960337859808594,62,0.08839637921599255
SC7,1SG7T2,T2,8,2.9210744422198593,0.7148930299444093,62,0.09079150559449096
SC7,1SG7T3,T3,1,1.0912821433909723,0.2456534962914281,68,0.02978986213270101
SC7,1SG7T3,T3,2,1.3201607582084012,0.2079899905911349,68,0.02522249118466096
SC7,1SG7T3,T3,3,1.500995348379328,0.32301253180418393,68,0.039171023147848066
SC7,1SG7T3,T3,4,1.7620383070837937,0.4264436446428298,68,0.0517138879481103
SC7,1SG7T3,T3,5,2.0084647813567056,0.5454763717302724,68,0.06614872638007636
SC7,1SG7T3,T3,6,2.2605295428853114,0.564882227648678,68,0.06850203207734412
SC7,1SG7T3,T3,7,2.508150082606099,0.6056358345940278,68,0.07344413284383185
SC7,1SG7T3,T3,8,2.6845260156374886,0.645519693200545,68,0.07828076113182804
SC7,1SG7T4,T4,1,1.0789475107807531,0.21897069421385984,55,0.02952600238449299
SC7,1SG7T4,T4,2,1.3147137106391797,0.2857672115036599,55,0.03853284293845435
SC7,1SG7T4,T4,3,1.516748470264049,0.38340631506983347,55,0.05169849697752404
SC7,1SG7T4,T4,4,1.7502287247616384,0.4399861530100289,55,0.059327720769018495
SC7,1SG7T4,T4,5,1.9592768995185996,0.4940049270371173,55,0.06661161077291769
SC7,1SG7T4,T4,6,2.21328848149975,0.5025007701466112,55,0.0677571900241037
SC7,1SG7T4,T4,7,2.4560292394064263,0.4895081547593623,55,0.0660052661226795
SC7,1SG7T4,T4,8,2.674562031330399,0.5731605468741284,55,0.0772849523743788
SC7,1SG7T5,T5,1,1.3005556963640852,0.28790916990653814,91,0.030181081716621837
SC7,1SG7T5,T5,2,1.5566963381954686,0.2433363014899639,91,0.02550857550759223
SC7,1SG7T5,T5,3,1.7994865812973186,0.33020938257094334,91,0.03461534886924268
SC7,1SG7T5,T5,4,2.0374218903787877,0.42386226105385266,91,0.0444328381121421
SC7,1SG7T5,T5,5,2.2863655959747367,0.400872995167115,91,0.04202290822849855
SC7,1SG7T5,T5,6,2.5149576100772273,0.3876836908570263,91,0.04064029345698085
SC7,1SG7T5,T5,7,2.75116144161242,0.40483193758258346,91,0.042437918158857633
SC7,1SG7T5,T5,8,3.0044168190513445,0.4157669229800389,91,0.04358421609705045
SC8,1SG8T1,T1,1,0.9854358900906344,0.2569991868534989,59,0.033458444259414286
